"CO_ENTIDADE","NO_ENTIDADE","NO_MUNICIPIO","TP_DEPENDENCIA","TP_CATEGORIA_ESCOLA_PRIVADA","NO_BAIRRO","QT_FUNCIONARIOS","QT_PROF_MONITORES"
"26106442","ACADEMIA O MUNDO MAGICO","Abreu e Lima","4","","CAETES III","",""
"26106450","EM - CENTRO COMU E EDUC ISAAC MARTINS RODRIGUES","Abreu e Lima","3","","PLANALTO","1","0"
"26106477","EM - CENTRO COM EDUCACIONAL WILIBALDO DE FRANCA SEIXAS","Abreu e Lima","3","","CAETES II","1","0"
"26106582","ESCOLA GENERAL ABREU E LIMA","Abreu e Lima","2","","CENTRO","1","0"
"26106590","ESCOLA JESUS MENINO","Abreu e Lima","4","","CAETES I","",""
"26106612","ESCOLA MARECHAL COSTA E SILVA","Abreu e Lima","2","","JARDIM CAETES","1","1"
"26106620","COLEGIO MICKEY","Abreu e Lima","4","","CENTRO","",""
"26106647","EM - ESCOLA MUNICIPAL ENGENHO NOVO","Abreu e Lima","3","","ENGENHO NOVO","","0"
"26106655","EM - ESCOLA MUNICIPAL PEDRO SALVIANO FILHO","Abreu e Lima","3","","DESTERRO","1","0"
"26106671","EM - ESC MUL SEBASTIAO GOMES DE MELO","Abreu e Lima","3","","DESTERRO","1","1"
"26106680","EM - ESCOLA MUNICIPAL JORGE GONCALVES FERREIRA","Abreu e Lima","3","","INHAMA","0","0"
"26106698","ESCOLA ORFANATO ESTRELA DE BETHEL","Abreu e Lima","2","","LOTEAMENTO PLANALTO","1","0"
"26106701","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PASTOR AMARO DE SENA","Abreu e Lima","2","","CAETES II","1","0"
"26106728","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E ENSINO MEDIO POLIVALENTE DE ABREU E LIMA","Abreu e Lima","2","","CENTRO","0","0"
"26106787","ESCOLA SANTA MARIA","Abreu e Lima","4","1","TIMBO","1","0"
"26106809","EM - ESCOLA MUNICIPAL SEVERINA ESTELITA DOS SANTOS","Abreu e Lima","3","","ESPACO 21","1","0"
"26106817","ESCOLA SANTA MARTA","Abreu e Lima","4","","CAETES I","",""
"26106833","EM - ESCOLA JOSE SEVERINO DA SILVA","Abreu e Lima","3","","PITANGA 1","1","0"
"26106841","EM - ESCOLA JOAQUINA MENDES DA SILVA","Abreu e Lima","3","","CHA DE CRUZ","","0"
"26106850","EM - ESC MUL SEBASTIAO CANDIDO DO NASCIMENTO","Abreu e Lima","3","","AREA RURAL","",""
"26106868","EM - ESCOLA LEANDRO HENRIQUE BEZERRA","Abreu e Lima","3","","PITANGA","1","0"
"26106922","ESCOLA JOANA ANGELICA","Abreu e Lima","4","1","CENTRO","1","1"
"26106957","ESCOLA DE REFERENCIA EM ENSINO MEDIO LUIZ RODOLFO DE ARAUJO JUNIOR","Abreu e Lima","2","","CAETES I","1","0"
"26106981","EM - ESCOLA MUNICIPAL ANTONIO CORREIA DE MELO","Abreu e Lima","3","","CAETES III","1","0"
"26107007","EM - ESCOLA MUL JERONIMO GADELHA A NETO","Abreu e Lima","3","","CAETES I","1","0"
"26107023","EM - ESCOLA MUL AUTA DE ARAUJO J CARVALHO","Abreu e Lima","3","","FOSFATO","1","0"
"26107031","EM - ESCOLA MUNICIPAL MANOEL GONCALVES DA SILVA","Abreu e Lima","3","","BOA ESPERANCA","1","0"
"26107040","ESCOLA MUNDO INFANTIL","Abreu e Lima","4","","CAETES III","",""
"26107074","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO PROFESSORA AZINETE RAMOS CARNEIRO","Abreu e Lima","2","","TIMBO","1","0"
"26107082","ESCOLA PROFESSORA ISAURA DE FRANCA","Abreu e Lima","2","","CAETES I","0","0"
"26107104","ESCOLA DE ABREU E LIMA","Abreu e Lima","2","","ALTO SAO MIGUEL","1","0"
"26107139","EM - ESCOLA JOSE ANTONIO DA SILVA","Abreu e Lima","3","","CENTRO","1","0"
"26107147","EM - ESCOLAS REUNIDAS SANTA ROSA","Abreu e Lima","3","","ALTO SAO MIGUEL","1","0"
"26107155","GINASIO SAO JOSE","Abreu e Lima","4","1","CENTRO","1","1"
"26107163","EMEF - GRUPO ESCOLA DOM CARLOS COELHO","Abreu e Lima","3","","CENTRO","1","0"
"26107180","COLEGIO MARIA TEREZA","Abreu e Lima","4","","CENTRO","",""
"26113767","ESCOLA PARTICULAR MENINO JESUS","Abreu e Lima","4","","CAETES II","",""
"26136442","EM - ESCOLA MUNICIPAL EDUARDO BATISTA RIBEIRO","Abreu e Lima","3","","CHA DE CRUZ","1","0"
"26136639","COLEGIO UNIVERSO EDITE RIBEIRO","Abreu e Lima","4","1","TIMBO","1","0"
"26137149","ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO STELA MARIA DOS SANTOS PINTO BARROS","Abreu e Lima","2","","TIMBO","1","0"
"26139960","ESCOLA SAGRADO CORACAO DE MARIA","Abreu e Lima","4","","CAETES I","",""
"26142112","ESCOLA ALCANTARA NOBRE","Abreu e Lima","4","","CAETES II","",""
"26142120","ESCOLA ANA MACEDO","Abreu e Lima","4","","CAETES I","",""
"26142686","EM - ESCOLA MUNICIPAL IVAN MARTINS DA SILVA","Abreu e Lima","3","","PITANGA","1","0"
"26144972","EM - ESCOLA SEVERINO RODRIGUES DA SILVA","Abreu e Lima","3","","PITANGA","1","0"
"26146240","EM - CENTRO COMT PROF VANDA M DE SANTANA","Abreu e Lima","3","","FOSFATO","0","0"
"26148285","EM - ESCOLA MUNICIPAL JOSE JOAQUIM BEZERRA","Abreu e Lima","3","","CAIANA I","","0"
"26148293","EM - ESCOLA MARIA DO CARMO DE SANTANA","Abreu e Lima","3","","CAIANA 2","1","0"
"26150727","ESCOLA SAO MATEUS","Abreu e Lima","4","","CAETES I","",""
"26157969","EM - CENTRO EDUCACIONAL E COMUNITARIO ANTAO SOARES VIANA","Abreu e Lima","3","","JARDIM CAETES","1","0"
"26158140","EM - CENT EDUC COMUN FRANCISCO LOPES BEZERRA","Abreu e Lima","3","","TIMBO","0","0"
"26160528","ESCOLA PAULO FREIRE","Abreu e Lima","4","1","CENTRO","1","0"
"26161559","ESCOLA PROFISIONALIZANTE DE ENFERMAGEM SAO CAMILO","Abreu e Lima","4","","CAETES I","",""
"26168561","EDUCANDARIO SAO LUCAS","Abreu e Lima","4","1","PLANALTO","1","0"
"26168731","EM - CENTRO EDUC COMUNITARIO PROFA MARIA VIEIRA MULITERNO","Abreu e Lima","3","","ALTO DA BELA VISTA","1","0"
"26170817","ESCOLA ALEGRIA DO SABER","Abreu e Lima","4","1","CENTRO","1","0"
"26170868","C COM EDUC E CULTURAL MAMAE MARGARIDA","Abreu e Lima","4","1","CAETES III","0","0"
"26170876","EM - ESCOLA MUNICIPAL EBERSON SANTOS DE MEIRELES","Abreu e Lima","3","","CAETES I","1","0"
"26172003","ESCOLA NOVA GERACAO","Abreu e Lima","4","","ALTO SAO MIGUEL","",""
"26174170","ACADEMIA EDUCACAO","Abreu e Lima","4","1","CAETES I","1","0"
"26174189","COLEGIO E CURSO MASTER LTDA","Abreu e Lima","4","1","TIMBO","1","0"
"26174227","ESCOLINHA ELIZABETH MONTEIRO","Abreu e Lima","4","1","CAETES I","1","0"
"26174243","CENTRO EDUCACIONAL CARMEM LUZIA","Abreu e Lima","4","","FOSFATO","",""
"26174251","ESCOLA MENINO JESUS","Abreu e Lima","4","","CENTRO","",""
"26174359","EM - ESCOLA INTEGRAL DA VILA MILITAR","Abreu e Lima","3","","CAETES I","1","1"
"26175290","ESCOLA ANITA SARAIVA LTDA","Abreu e Lima","4","","CAETES I","",""
"26176904","COLEGIO E CURSO VEJA","Abreu e Lima","4","","CENTRO","",""
"26178435","ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA VIEIRA MULITERNO","Abreu e Lima","2","","CENTRO","1","1"
"26178443","ESCOLA PROGRESSO INFANTIL","Abreu e Lima","4","1","CAETES I","1","0"
