"CO_ENTIDADE","servicoColeta","queima","enterra","destinoFinalPublico","descartaEmOutraArea","reutiliza"
"26106442","","","","","",""
"26106450","0","1","0","0","0","1"
"26106477","0","1","0","0","0","1"
"26106582","0","1","0","0","0","0"
"26106590","","","","","",""
"26106612","0","1","0","0","0","0"
"26106620","","","","","",""
"26106647","0","1","0","0","0","0"
"26106655","0","1","0","0","0","1"
"26106671","0","1","0","0","0","0"
"26106680","0","1","0","0","0","1"
"26106698","0","1","0","0","0","1"
"26106701","0","1","0","0","0","0"
"26106728","0","1","0","0","0","0"
"26106787","0","1","0","0","0","0"
"26106809","0","0","1","0","0","1"
"26106817","","","","","",""
"26106833","0","0","1","0","0","1"
"26106841","0","1","0","0","0","1"
"26106850","","","","","",""
"26106868","0","0","1","0","0","1"
"26106922","0","1","1","0","0","0"
"26106957","0","1","0","0","0","0"
"26106981","0","1","0","0","0","1"
"26107007","0","1","0","0","0","1"
"26107023","0","1","0","0","0","1"
"26107031","0","1","0","0","0","0"
"26107040","","","","","",""
"26107074","0","1","0","0","0","0"
"26107082","0","1","0","0","0","1"
"26107104","0","1","0","0","0","1"
"26107139","0","1","0","0","0","1"
"26107147","0","1","0","0","0","0"
"26107155","0","1","0","0","0","0"
"26107163","0","1","0","0","0","1"
"26107180","","","","","",""
"26113767","","","","","",""
"26136442","0","1","0","0","0","1"
"26136639","0","1","0","0","0","1"
"26137149","0","1","0","0","0","0"
"26139960","","","","","",""
"26142112","","","","","",""
"26142120","","","","","",""
"26142686","0","0","1","0","0","1"
"26144972","0","0","1","0","0","1"
"26146240","0","1","0","0","0","1"
"26148285","0","0","1","0","0","0"
"26148293","0","0","1","0","0","1"
"26150727","","","","","",""
"26157969","0","1","0","0","0","1"
"26158140","0","1","0","0","0","0"
"26160528","0","1","0","0","0","0"
"26161559","","","","","",""
"26168561","0","1","0","0","0","0"
"26168731","0","1","0","0","0","1"
"26170817","0","1","0","0","0","1"
"26170868","0","1","0","0","0","0"
"26170876","0","1","0","0","0","1"
"26172003","","","","","",""
"26174170","0","1","0","0","0","1"
"26174189","0","1","0","0","0","0"
"26174227","0","1","0","0","0","0"
"26174243","","","","","",""
"26174251","","","","","",""
"26174359","0","1","0","0","0","1"
"26175290","","","","","",""
"26176904","","","","","",""
"26178435","0","1","0","0","0","0"
"26178443","0","1","0","0","0","9"
"26178451","0","1","0","0","0","0"
"26178460","0","1","0","0","0","0"
"26178486","0","1","0","0","0","0"
"26179261","0","1","0","0","0","1"
"26179270","0","1","0","0","0","1"
"26181860","","","","","",""
"26182238","","","","","",""
"26182890","0","1","0","0","0","0"
"26184150","0","1","0","0","0","1"
"26186713","0","1","0","0","0","0"
"26186780","0","1","0","0","0","0"
"26187442","0","1","0","0","0","1"
"26189585","0","1","0","0","0","1"
"26190834","0","1","0","0","0","1"
"26213400","0","1","0","0","0","1"
"26214202","0","1","0","0","0","0"
"26216213","0","1","0","0","0","0"
"26224607","0","1","0","0","0","1"
"26225638","0","1","0","0","0","1"
"26243601","0","1","0","0","0","1"
"26394626","0","1","0","0","0","0"
"26400618","0","1","0","0","0","1"
"26437732","0","1","0","0","0","1"
"26455749","","","","","",""
"26521733","","","","","",""
"26107210","0","1","0","0","0","0"
"26107236","","","","","",""
"26107252","0","1","0","0","0","1"
"26107295","","","","","",""
"26107309","","","","","",""
"26107317","","","","","",""
"26107341","","","","","",""
"26107368","","","","","",""
"26107384","","","","","",""
"26107406","","","","","",""
"26107414","","","","","",""
"26107449","0","1","0","0","0","0"
"26107465","","","","","",""
"26107503","0","1","0","0","0","0"
"26107546","0","1","0","0","0","1"
"26107562","0","1","0","0","0","1"
"26107570","0","1","0","0","0","0"
"26107597","0","1","0","0","0","1"
"26107600","0","1","0","0","0","1"
"26107627","0","1","0","0","0","1"
"26107635","0","1","0","0","0","1"
"26107651","0","1","0","0","0","0"
"26107678","0","1","0","0","0","1"
"26107686","0","1","0","0","0","0"
"26107708","0","1","0","0","0","1"
"26107724","0","1","0","0","0","0"
"26107732","0","1","0","0","0","1"
"26107759","0","1","0","0","0","0"
"26107767","0","1","0","0","0","0"
"26107783","0","1","0","0","0","0"
"26107791","0","1","0","0","0","1"
"26107821","0","1","0","0","0","1"
"26107830","0","1","0","0","0","0"
"26107848","0","1","0","0","0","0"
"26107856","0","1","0","0","0","0"
"26107864","0","1","0","0","0","0"
"26107872","0","1","0","0","0","1"
